Silhouette Studio Level Testing Document,,,,,,4.2.233,
Win P,Mac P,Level,Task,Notes,Ticket No.,Win,Mac
"=if(IFERROR(search(""Success"",INDIRECT(""G56""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H56""))>0,0),""Mac Pass"",""Mac Fail"")",,.AI Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G57""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H57""))>0,0),""Mac Pass"",""Mac Fail"")",,.CDR Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G58""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H58""))>0,0),""Mac Pass"",""Mac Fail"")",,.DST Files - Embroidery File,Designer Edition+ and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G59""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H59""))>0,0),""Mac Pass"",""Mac Fail"")",,.EXP Files - Embroidery File,Designer Edition+ and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G60""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H60""))>0,0),""Mac Pass"",""Mac Fail"")",,.JEF Files - Embroidery File,Designer Edition+ and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G61""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H61""))>0,0),""Mac Pass"",""Mac Fail"")",,.PES Files - Embroidery File,Designer Edition+ and above.,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G62""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H62""))>0,0),""Mac Pass"",""Mac Fail"")",,.XXX Files - Embroidery File,Designer Edition+ and above.,,,
Drag and Drop,,,,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G64""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H64""))>0,0),""Mac Pass"",""Mac Fail"")",,.STUDIO Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G65""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H65""))>0,0),""Mac Pass"",""Mac Fail"")",,.STUDIO3 Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G66""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H66""))>0,0),""Mac Pass"",""Mac Fail"")",,.GSD Files,,,,
"=if(IFERROR(search(""Success"",INDIRECT(""G67""))>0,0),""WIN Pass"",""WIN Fail"")","=if(IFERROR(search(""Success"",INDIRECT(""H67""))>0,0),""Mac Pass"",""Mac Fail"")",,.DXF Files,,,,
