Silhouette Studio Level Testing Document,,,,,,4.2.233,
Level,Win,Mac,Task,Notes,Ticket No.,Win,Mac
3,"=IFS(INDIRECT(""Setup!B32"")=True,""Pass"",INDIRECT(""Setup!C32"")=True,""Fail"",INDIRECT(""Setup!D32"")=True,""N/A"",INDIRECT(""Setup!E32"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F32"")=True,""Pass"",INDIRECT(""Setup!G32"")=True,""Fail"",INDIRECT(""Setup!H32"")=True,""N/A"",INDIRECT(""Setup!I32"")=True,""Retest"")",.BMP Files,,,,
3,"=IFS(INDIRECT(""Setup!B33"")=True,""Pass"",INDIRECT(""Setup!C33"")=True,""Fail"",INDIRECT(""Setup!D33"")=True,""N/A"",INDIRECT(""Setup!E33"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F33"")=True,""Pass"",INDIRECT(""Setup!G33"")=True,""Fail"",INDIRECT(""Setup!H33"")=True,""N/A"",INDIRECT(""Setup!I33"")=True,""Retest"")",.GIF Files,,,,
3,"=IFS(INDIRECT(""Setup!B34"")=True,""Pass"",INDIRECT(""Setup!C34"")=True,""Fail"",INDIRECT(""Setup!D34"")=True,""N/A"",INDIRECT(""Setup!E34"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F34"")=True,""Pass"",INDIRECT(""Setup!G34"")=True,""Fail"",INDIRECT(""Setup!H34"")=True,""N/A"",INDIRECT(""Setup!I34"")=True,""Retest"")",.TIF Files,,,,
3,"=IFS(INDIRECT(""Setup!B35"")=True,""Pass"",INDIRECT(""Setup!C35"")=True,""Fail"",INDIRECT(""Setup!D35"")=True,""N/A"",INDIRECT(""Setup!E35"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F35"")=True,""Pass"",INDIRECT(""Setup!G35"")=True,""Fail"",INDIRECT(""Setup!H35"")=True,""N/A"",INDIRECT(""Setup!I35"")=True,""Retest"")",.PDF Files,Designer Edition and above.,,,
2,"=IFS(INDIRECT(""Setup!B36"")=True,""Pass"",INDIRECT(""Setup!C36"")=True,""Fail"",INDIRECT(""Setup!D36"")=True,""N/A"",INDIRECT(""Setup!E36"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F36"")=True,""Pass"",INDIRECT(""Setup!G36"")=True,""Fail"",INDIRECT(""Setup!H36"")=True,""N/A"",INDIRECT(""Setup!I36"")=True,""Retest"")",.SVG Files,Designer Edition and above.,,,
3,"=IFS(INDIRECT(""Setup!B37"")=True,""Pass"",INDIRECT(""Setup!C37"")=True,""Fail"",INDIRECT(""Setup!D37"")=True,""N/A"",INDIRECT(""Setup!E37"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F37"")=True,""Pass"",INDIRECT(""Setup!G37"")=True,""Fail"",INDIRECT(""Setup!H37"")=True,""N/A"",INDIRECT(""Setup!I37"")=True,""Retest"")",.EPS Files,Busniness Edition feature.,,,
3,"=IFS(INDIRECT(""Setup!B38"")=True,""Pass"",INDIRECT(""Setup!C38"")=True,""Fail"",INDIRECT(""Setup!D38"")=True,""N/A"",INDIRECT(""Setup!E38"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F38"")=True,""Pass"",INDIRECT(""Setup!G38"")=True,""Fail"",INDIRECT(""Setup!H38"")=True,""N/A"",INDIRECT(""Setup!I38"")=True,""Retest"")",.AI Files,Busniness Edition feature.,,,
3,"=IFS(INDIRECT(""Setup!B39"")=True,""Pass"",INDIRECT(""Setup!C39"")=True,""Fail"",INDIRECT(""Setup!D39"")=True,""N/A"",INDIRECT(""Setup!E39"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F39"")=True,""Pass"",INDIRECT(""Setup!G39"")=True,""Fail"",INDIRECT(""Setup!H39"")=True,""N/A"",INDIRECT(""Setup!I39"")=True,""Retest"")",.CDR Files,Busniness Edition feature. (Win Only),,,
3,"=IFS(INDIRECT(""Setup!B40"")=True,""Pass"",INDIRECT(""Setup!C40"")=True,""Fail"",INDIRECT(""Setup!D40"")=True,""N/A"",INDIRECT(""Setup!E40"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F40"")=True,""Pass"",INDIRECT(""Setup!G40"")=True,""Fail"",INDIRECT(""Setup!H40"")=True,""N/A"",INDIRECT(""Setup!I40"")=True,""Retest"")",.DST Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B41"")=True,""Pass"",INDIRECT(""Setup!C41"")=True,""Fail"",INDIRECT(""Setup!D41"")=True,""N/A"",INDIRECT(""Setup!E41"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F41"")=True,""Pass"",INDIRECT(""Setup!G41"")=True,""Fail"",INDIRECT(""Setup!H41"")=True,""N/A"",INDIRECT(""Setup!I41"")=True,""Retest"")",.EXP Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B42"")=True,""Pass"",INDIRECT(""Setup!C42"")=True,""Fail"",INDIRECT(""Setup!D42"")=True,""N/A"",INDIRECT(""Setup!E42"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F42"")=True,""Pass"",INDIRECT(""Setup!G42"")=True,""Fail"",INDIRECT(""Setup!H42"")=True,""N/A"",INDIRECT(""Setup!I42"")=True,""Retest"")",.JEF Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B43"")=True,""Pass"",INDIRECT(""Setup!C43"")=True,""Fail"",INDIRECT(""Setup!D43"")=True,""N/A"",INDIRECT(""Setup!E43"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F43"")=True,""Pass"",INDIRECT(""Setup!G43"")=True,""Fail"",INDIRECT(""Setup!H43"")=True,""N/A"",INDIRECT(""Setup!I43"")=True,""Retest"")",.PES Files - Embroidery File,Designer Edition+ and above.,,,
3,"=IFS(INDIRECT(""Setup!B44"")=True,""Pass"",INDIRECT(""Setup!C44"")=True,""Fail"",INDIRECT(""Setup!D44"")=True,""N/A"",INDIRECT(""Setup!E44"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F44"")=True,""Pass"",INDIRECT(""Setup!G44"")=True,""Fail"",INDIRECT(""Setup!H44"")=True,""N/A"",INDIRECT(""Setup!I44"")=True,""Retest"")",.XXX Files - Embroidery File,Designer Edition+ and above.,,,
,Merge,,,,,,
2,"=IFS(INDIRECT(""Setup!B46"")=True,""Pass"",INDIRECT(""Setup!C46"")=True,""Fail"",INDIRECT(""Setup!D46"")=True,""N/A"",INDIRECT(""Setup!E46"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F46"")=True,""Pass"",INDIRECT(""Setup!G46"")=True,""Fail"",INDIRECT(""Setup!H46"")=True,""N/A"",INDIRECT(""Setup!I46"")=True,""Retest"")",.STUDIO Files,,,,
2,"=IFS(INDIRECT(""Setup!B47"")=True,""Pass"",INDIRECT(""Setup!C47"")=True,""Fail"",INDIRECT(""Setup!D47"")=True,""N/A"",INDIRECT(""Setup!E47"")=True,""Retest"")","=IFS(INDIRECT(""Setup!F47"")=True,""Pass"",INDIRECT(""Setup!G47"")=True,""Fail"",INDIRECT(""Setup!H47"")=True,""N/A"",INDIRECT(""Setup!I47"")=True,""Retest"")",.STUDIO3 Files,,,,
